year,date,value
1990,1990-01-01,1626.32109589036
1991,1991-01-01,1611.3719705777
1992,1992-01-01,1584.45089420457
1993,1993-01-01,1576.66608025683
1994,1994-01-01,1564.15734572521
1995,1995-01-01,1577.42932642915
1996,1996-01-01,1592.72651355105
1997,1997-01-01,1585.01843074226
1998,1998-01-01,1569.01792966077
1999,1999-01-01,1580.03538079532
2000,2000-01-01,1590.53600804969
2001,2001-01-01,1584.48166042261
2002,2002-01-01,1597.42958388422
2003,2003-01-01,1635.68493163054
2004,2004-01-01,1682.91262485075
2005,2005-01-01,1708.55270571192
2006,2006-01-01,1735.35240707658
2007,2007-01-01,1759.58764727864
2008,2008-01-01,1760.65936421268
2009,2009-01-01,1722.83553405813
2010,2010-01-01,1797.33396996069
2011,2011-01-01,1803.96021847689
2012,2012-01-01,1803.79054500971
2013,2013-01-01,1810.81129534032
2014,2014-01-01,1809.84216220621
2015,2015-01-01,1790.2311990423
2016,2016-01-01,1784.72552759688
2017,2017-01-01,1802.79548497669
2018,2018-01-01,1825.73810732343
2019,2019-01-01,1828.43822584776
2020,2020-01-01,1761.47471149444
2021,2021-01-01,1850.99790788266
2022,2022-01-01,1853.66774677224
